X [m],Y [m],Z [m],Volume [m^3],Pressure [Pa]
0.015,0.00837568839,2.7755575599999998e-17,5.57932926e-21,32.981752
0.015,0.0251247884,2.7755575599999998e-17,5.5778126400000004e-21,32.981752
0.015,0.0418716123,2.7755575599999998e-17,5.57781305e-21,32.981752
0.015,0.0586184369,2.7755575599999998e-17,5.57781305e-21,32.981752
0.015,0.0751977476,2.7755575599999998e-17,5.46622647e-21,32.9820574
0.015,0.0916095902,2.7755575599999998e-17,5.4662568e-21,32.9820574
0.015,0.108021478,2.7755575599999998e-17,5.46625679e-21,32.9820574
0.015,0.124433366,2.7755575599999998e-17,5.46625679e-21,32.9820574
0.015,0.131223219,0.0155532053,2.02066301e-07,2553.94454
0.015,0.128935156,0.0326315378,8.79926393e-07,3489.66297
0.015,0.126225596,0.0528559704,1.57771078e-06,2875.03711
0.015,0.114699685,0.0776365379,2.3518434e-07,2934.0547
0.015,0.124476488,0.0729717095,2.04031079e-06,2930.59085
0.015,0.112364177,0.095069007,9.21793483e-07,2877.28027
0.015,0.124433366,0.0937547959,2.051486e-06,2882.06228
0.015,0.109648899,0.115336121,1.61957784e-06,2846.5413
0.015,0.124433366,0.114588129,2.051486e-06,2816.34223
0.015,0.0981761519,0.139719871,2.7081443e-07,2820.76797
0.015,0.0957924707,0.15751191,9.63660544e-07,2938.60057
0.015,0.108040745,0.135444604,2.04654776e-06,2830.24752
0.015,0.124433366,0.135421463,2.051486e-06,2772.72307
0.015,0.108021478,0.156254796,2.051486e-06,2815.5077
0.015,0.124433366,0.156254796,2.051486e-06,2708.73313
0.015,0.140659274,0.0105079722,1.96645448e-06,2535.33992
0.015,0.159765575,0.0104190652,2.81029359e-06,2739.78844
0.015,0.140583149,0.0312547965,1.9859597e-06,3296.83863
0.015,0.159765575,0.0312547965,2.80964649e-06,3193.86958
0.015,0.186902599,0.0104190652,3.97552454e-06,2928.48055
0.015,0.225291437,0.0104190652,5.62389485e-06,3023.86733
0.015,0.186902599,0.0312547965,3.97460914e-06,3092.99389
0.015,0.225291437,0.0312547965,5.6225999e-06,3056.09073
0.015,0.140583149,0.0520881293,1.98595981e-06,2877.54845
0.015,0.159765575,0.0520881293,2.80964664e-06,2895.83079
0.015,0.140583149,0.0729214626,1.98595981e-06,2934.72865
0.015,0.159765575,0.0729214626,2.80964664e-06,2918.25457
