X [m]	Y [m]	Z [m]	Volume [m^3]	Surface [m^2]	Pressure [Pa]	
0.015	0.00218781114	1.1183741e-18	5.87229912e-23		1.94875045	
0.015	0.0065628387	1.1183741e-18	5.87070287e-23		1.94875045	
0.015	0.0109372717	1.1183741e-18	5.8707033e-23		1.94875045	
0.015	0.0153117049	1.1183741e-18	5.8707033e-23		1.94875045	
0.015	0.0196861381	1.1183741e-18	5.8707033e-23		1.94875045	
0.015	0.024016815	1.1183741e-18	5.75325732e-23		1.94873675	
0.015	0.0283037476	1.1183741e-18	5.75328924e-23		1.94873675	
0.015	0.0325906922	1.1183741e-18	5.75328923e-23		1.94873675	
0.015	0.0368776367	1.1183741e-18	5.75328923e-23		1.94873675	
0.015	0.0411645812	1.1183741e-18	5.75328923e-23		1.94873675	
0.015	0.0432389972	0.00656531752	1.47169621e-09		1362.49603	
0.015	0.0430110375	0.0117764992	2.3330217e-08		1961.26279	
0.015	0.0457500296	0.0037422114	2.02667744e-07		1652.9934	
0.015	0.0509469212	0.00367731713	2.55783961e-07		1847.70282	
0.015	0.0456783785	0.0110311046	2.09146322e-07		1932.76924	
0.015	0.0509469212	0.0110311046	2.55725064e-07		1918.24135	
0.015	0.0427072838	0.0187203416	5.17110556e-08		1876.23869	
0.015	0.0423908472	0.0259541151	8.00918937e-08		1860.15846	
0.015	0.0456783785	0.0183840456	2.09146333e-07		1895.08678	
0.015	0.0509469212	0.0183840456	2.55725078e-07		1892.2124	
0.015	0.0456783785	0.0257369868	2.09146333e-07		1912.52935	
0.015	0.0509469212	0.0257369868	2.55725078e-07		1876.08195	
0.015	0.0573887318	0.00367731713	3.12741971e-07		1871.44712	
0.015	0.0652650058	0.00367731713	3.82383401e-07		1838.02809	
0.015	0.0573887318	0.0110311046	3.12669959e-07		1873.7158	
0.015	0.0652650058	0.0110311046	3.82295354e-07		1814.05153	
0.015	0.0748951696	0.00367731713	4.67532596e-07		1784.96773	
0.015	0.0866697799	0.00367731713	5.71642827e-07		1749.82691	
0.015	0.0748951696	0.0110311046	4.67424943e-07		1760.61861	
0.015	0.0866697799	0.0110311046	5.71511201e-07		1739.73744	
0.015	0.0573887318	0.0183840456	3.12669976e-07		1838.89688	
0.015	0.0652650058	0.0183840456	3.82295374e-07		1787.35713	
0.015	0.0573887318	0.0257369868	3.12669976e-07		1812.37878	
0.015	0.0652650058	0.0257369868	3.82295374e-07		1765.11044	
0.015	0.0748951696	0.0183840456	4.67424967e-07		1749.89039	
0.015	0.0866697799	0.0183840456	5.71511231e-07		1735.27126	
0.015	0.0748951696	0.0257369868	4.67424967e-07		1741.61672	
0.015	0.0866697799	0.0257369868	5.71511231e-07		1731.80872	
0.015	0.0420716828	0.0332502468	1.08472732e-07		1976.96462	
0.015	0.0417514876	0.0405699409	1.3685357e-07		1993.47439	
0.015	0.0456783785	0.033089928	2.09146333e-07		1957.96095	
0.015	0.0509469212	0.033089928	2.55725078e-07		1853.38457	
0.015	0.0456783785	0.0404428692	2.09146333e-07		1963.56771	
0.015	0.0509469212	0.0404428692	2.55725078e-07		1829.70464	
0.015	0.0414307929	0.0479010561	1.65234408e-07		1945.73863	
0.015	0.0388800032	0.0572123761	6.14470956e-09		1725.69228	
0.015	0.0411829048	0.0551738746	1.87470536e-07		1954.1411	
0.015	0.0456783785	0.0477958103	2.09146333e-07		1828.68378	
0.015	0.0509469212	0.0477958103	2.55725078e-07		1781.73928	
0.015	0.0456783785	0.0551487515	2.09146333e-07		1814.60046	
0.015	0.0509469212	0.0551487515	2.55725078e-07		1757.09677	
