X [m]	Y [m]	Z [m]	Volume [m^3]	Surface [m^2]	Pressure [Pa]	
0.015	0.00837568839	2.77555756e-17	5.57932926e-21		96.8130791	
0.015	0.0251247884	2.77555756e-17	5.57781264e-21		96.8130791	
0.015	0.0418716123	2.77555756e-17	5.57781305e-21		96.8130791	
0.015	0.0586184369	2.77555756e-17	5.57781305e-21		96.8130791	
0.015	0.0751977476	2.77555756e-17	5.46622647e-21		96.8130775	
0.015	0.0916095902	2.77555756e-17	5.4662568e-21		96.8130775	
0.015	0.108021478	2.77555756e-17	5.46625679e-21		96.8130775	
0.015	0.124433366	2.77555756e-17	5.46625679e-21		96.8130775	
0.015	0.131223219	0.0155532053	2.02066301e-07		2304.80411	
0.015	0.128935156	0.0326315378	8.79926393e-07		2918.48452	
0.015	0.126225596	0.0528559704	1.57771078e-06		2865.47476	
0.015	0.114699685	0.0776365379	2.3518434e-07		2813.2518	
0.015	0.124476488	0.0729717095	2.04031079e-06		2821.68339	
0.015	0.112364177	0.095069007	9.21793483e-07		2817.18775	
0.015	0.124433366	0.0937547959	2.051486e-06		2819.77894	
0.015	0.109648899	0.115336121	1.61957784e-06		2838.2817	
0.015	0.124433366	0.114588129	2.051486e-06		2831.49589	
0.015	0.0981761519	0.139719871	2.7081443e-07		2808.82445	
0.015	0.0957924707	0.15751191	9.63660544e-07		2806.52699	
0.015	0.108040745	0.135444604	2.04654776e-06		2820.08123	
0.015	0.124433366	0.135421463	2.051486e-06		2821.51182	
0.015	0.108021478	0.156254796	2.051486e-06		2811.84809	
0.015	0.124433366	0.156254796	2.051486e-06		2811.38052	
0.015	0.140251208	0.0105128355	1.86446537e-06		2257.93541	
0.015	0.157750371	0.0104190652	2.5103546e-06		2296.15646	
0.015	0.140175287	0.0312547965	1.88399408e-06		2725.48446	
0.015	0.157750371	0.0312547965	2.50977657e-06		2629.02207	
0.015	0.181161918	0.0104190652	3.34387991e-06		2322.2215	
0.015	0.212346916	0.0104190652	4.45416478e-06		2344.5536	
0.015	0.181161918	0.0312547965	3.34310995e-06		2581.51478	
0.015	0.212346916	0.0312547965	4.45313917e-06		2532.789	
0.015	0.140175287	0.0520881293	1.88399418e-06		2802.82932	
0.015	0.157750371	0.0520881293	2.50977671e-06		2746.67983	
0.015	0.140175287	0.0729214626	1.88399418e-06		2809.595	
0.015	0.157750371	0.0729214626	2.50977671e-06		2787.52044	
0.015	0.181161918	0.0520881293	3.34311013e-06		2690.04993	
0.015	0.212346916	0.0520881293	4.4531394e-06		2638.99443	
0.015	0.181161918	0.0729214626	3.34311013e-06		2747.61551	
0.015	0.212346916	0.0729214626	4.4531394e-06		2706.38748	
0.015	0.253886422	0.0104190652	5.93310298e-06		2360.35731	
0.015	0.309209906	0.0104190652	7.90095261e-06		2350.93168	
0.015	0.253886422	0.0312547965	5.93173684e-06		2492.33479	
0.015	0.309209906	0.0312547965	7.89913334e-06		2430.30763	
0.015	0.253886422	0.0520881293	5.93173715e-06		2589.56237	
0.015	0.309209906	0.0520881293	7.89913376e-06		2511.2486	
0.015	0.253886422	0.0729214626	5.93173715e-06		2659.842	
0.015	0.309209906	0.0729214626	7.89913376e-06		2579.97233	
0.015	0.140175287	0.0937547959	1.88399418e-06		2815.23597	
0.015	0.157750371	0.0937547959	2.50977671e-06		2802.8475	
0.015	0.140175287	0.114588129	1.88399418e-06		2825.06062	
0.015	0.157750371	0.114588129	2.50977671e-06		2814.71613	
0.015	0.181161918	0.0937547959	3.34311013e-06		2777.26726	
0.015	0.212346916	0.0937547959	4.4531394e-06		2748.33161	
0.015	0.181161918	0.114588129	3.34311013e-06		2798.76581	
0.015	0.212346916	0.114588129	4.4531394e-06		2777.26645	
0.015	0.140175287	0.135421463	1.88399418e-06		2821.78043	
0.015	0.157750371	0.135421463	2.50977671e-06		2814.89603	
0.015	0.140175287	0.156254796	1.88399418e-06		2811.25765	
0.015	0.157750371	0.156254796	2.50977671e-06		2809.48527	
0.015	0.181161918	0.135421463	3.34311013e-06		2807.87799	
0.015	0.212346916	0.135421463	4.4531394e-06		2791.22608	
0.015	0.181161918	0.156254796	3.34311013e-06		2808.24058	
0.015	0.212346916	0.156254796	4.4531394e-06		2796.30124	
0.015	0.253886422	0.0937547959	5.93173715e-06		2709.68688	
0.015	0.309209906	0.0937547959	7.89913376e-06		2637.82363	
0.015	0.253886422	0.114588129	5.93173715e-06		2745.85936	
0.015	0.309209906	0.114588129	7.89913376e-06		2684.39617	
0.015	0.253886422	0.135421463	5.93173715e-06		2767.84138	
0.015	0.309209906	0.135421463	7.89913376e-06		2717.57485	
0.015	0.253886422	0.156254796	5.93173715e-06		2778.73518	
0.015	0.309209906	0.156254796	7.89913376e-06		2736.95917	
0.015	0.0669899038	0.249997536	3.81340636e-13		2735.50186	
0.015	0.0930720679	0.177817272	1.6614449e-06		2804.16868	
0.015	0.0816526183	0.201803205	3.08956541e-07		2761.6515	
0.015	0.0916143813	0.197927385	2.05027271e-06		2783.27696	
0.015	0.108021478	0.177088129	2.051486e-06		2807.28935	
0.015	0.124433366	0.177088129	2.051486e-06		2802.80485	
0.015	0.108021478	0.197921463	2.051486e-06		2787.80638	
0.015	0.124433366	0.197921463	2.051486e-06		2787.59381	
0.015	0.0792201269	0.219959568	1.0055276e-06		2754.96158	
0.015	0.0916095902	0.218754796	2.05148601e-06		2767.58741	
0.015	0.0764951149	0.240299348	1.70331158e-06		2735.50186	
