X [m]	Y [m]	Z [m]	Volume [m^3]	Surface [m^2]	Pressure [Pa]	
0.015	0.00837568839	2.77555756e-17	5.57932926e-21		1.94875646	
0.015	0.0251247884	2.77555756e-17	5.57781264e-21		1.94875646	
0.015	0.0418716123	2.77555756e-17	5.57781305e-21		1.94875646	
0.015	0.0586184369	2.77555756e-17	5.57781305e-21		1.94875646	
0.015	0.0751977476	2.77555756e-17	5.46622647e-21		1.94876667	
0.015	0.0916095902	2.77555756e-17	5.4662568e-21		1.94876667	
0.015	0.108021478	2.77555756e-17	5.46625679e-21		1.94876667	
0.015	0.124433366	2.77555756e-17	5.46625679e-21		1.94876667	
0.015	0.131223219	0.0155532053	2.02066301e-07		3136.16914	
0.015	0.128935156	0.0326315378	8.79926393e-07		5151.81959	
0.015	0.126225596	0.0528559704	1.57771078e-06		4397.99394	
0.015	0.114699685	0.0776365379	2.3518434e-07		4322.51822	
0.015	0.124476488	0.0729717095	2.04031079e-06		4056.01439	
0.015	0.112364177	0.095069007	9.21793483e-07		3604.35293	
0.015	0.124433366	0.0937547959	2.051486e-06		3682.20524	
0.015	0.109648899	0.115336121	1.61957784e-06		3626.08891	
0.015	0.124433366	0.114588129	2.051486e-06		3737.0957	
0.015	0.0981761519	0.139719871	2.7081443e-07		4070.00955	
0.015	0.0957924707	0.15751191	9.63660544e-07		4477.86941	
0.015	0.108040745	0.135444604	2.04654776e-06		4009.34893	
0.015	0.124433366	0.135421463	2.051486e-06		3897.27906	
0.015	0.108021478	0.156254796	2.051486e-06		4073.435	
0.015	0.124433366	0.156254796	2.051486e-06		3716.87747	
0.015	0.140251208	0.0105128355	1.86446537e-06		3351.17897	
0.015	0.157750371	0.0104190652	2.5103546e-06		3883.11115	
0.015	0.140175287	0.0312547965	1.88399408e-06		4699.3464	
0.015	0.157750371	0.0312547965	2.50977657e-06		4338.54388	
0.015	0.181161918	0.0104190652	3.34387991e-06		4025.56063	
0.015	0.212346916	0.0104190652	4.45416478e-06		3936.92323	
0.015	0.181161918	0.0312547965	3.34310995e-06		4051.79262	
0.015	0.212346916	0.0312547965	4.45313917e-06		3800.53251	
0.015	0.140175287	0.0520881293	1.88399418e-06		4068.38148	
0.015	0.157750371	0.0520881293	2.50977671e-06		3967.36091	
0.015	0.140175287	0.0729214626	1.88399418e-06		3887.99101	
0.015	0.157750371	0.0729214626	2.50977671e-06		3820.36302	
