X [m]	Y [m]	Z [m]	Volume [m^3]	Surface [m^2]	Pressure [Pa]	
0.015	0.0215661135	0.0071262282	1.35328669e-09		1419.25455	
0.015	0.0214921837	0.0105127739	5.65103948e-09		1439.38635	
0.015	0.0214052559	0.0144947182	1.00511614e-08		1443.59993	
0.015	0.0213167806	0.0185475554	1.44512833e-08		1444.57871	
0.015	0.0212278413	0.0226216439	1.88514052e-08		1444.92417	
0.015	0.0211387015	0.0267049189	2.32515271e-08		1445.01952	
0.015	0.0210494569	0.030792995	2.7651649e-08		1445.25611	
0.015	0.0228976454	0.00207606887	5.69265653e-08		1439.55645	
0.015	0.0255299258	0.00204965217	7.25312875e-08		1438.54207	
0.015	0.022836241	0.00615147995	5.99607989e-08		1437.32043	
0.015	0.0255299258	0.00614848456	7.25145865e-08		1440.24923	
0.015	0.0287843877	0.00204965217	8.756107e-08		1440.6168	
0.015	0.0327132324	0.00204965217	1.05705295e-07		1441.77947	
0.015	0.0287843877	0.00614848456	8.75409084e-08		1442.03963	
0.015	0.0327132324	0.00614848456	1.05680955e-07		1442.00555	
0.015	0.022834178	0.0102468451	6.00631711e-08		1442.86669	
0.015	0.0255299258	0.0102468451	7.25145904e-08		1442.55138	
0.015	0.022834178	0.0143452058	6.00631711e-08		1443.11917	
0.015	0.0255299258	0.0143452058	7.25145904e-08		1442.71185	
0.015	0.0287843877	0.0102468451	8.7540913e-08		1442.3656	
0.015	0.0327132324	0.0102468451	1.05680961e-07		1441.43509	
0.015	0.0287843877	0.0143452058	8.7540913e-08		1442.18613	
0.015	0.0327132324	0.0143452058	1.05680961e-07		1440.36576	
0.015	0.0374562043	0.00204965217	1.27609328e-07		1440.35033	
0.015	0.0431820051	0.00204965217	1.5405227e-07		1438.93737	
0.015	0.0374562043	0.00614848456	1.27579945e-07		1440.17993	
0.015	0.0431820051	0.00614848456	1.54016798e-07		1438.73658	
0.015	0.0500942945	0.00204965217	1.85974664e-07		1438.36088	
0.015	0.0584389342	0.00204965217	2.24511951e-07		1437.72892	
0.015	0.0500942945	0.00614848456	1.85931842e-07		1438.26012	
0.015	0.0584389342	0.00614848456	2.24460255e-07		1437.72799	
0.015	0.0374562043	0.0102468451	1.27579952e-07		1439.84451	
0.015	0.0431820051	0.0102468451	1.54016806e-07		1438.75332	
0.015	0.0374562043	0.0143452058	1.27579952e-07		1439.1629	
0.015	0.0431820051	0.0143452058	1.54016806e-07		1438.59554	
0.015	0.0500942945	0.0102468451	1.85931852e-07		1438.35245	
0.015	0.0584389342	0.0102468451	2.24460267e-07		1437.78364	
0.015	0.0500942945	0.0143452058	1.85931852e-07		1438.35611	
0.015	0.0584389342	0.0143452058	2.24460267e-07		1437.76275	
0.015	0.022834178	0.0184435664	6.00631711e-08		1442.66327	
0.015	0.0255299258	0.0184435664	7.25145904e-08		1442.57398	
0.015	0.022834178	0.0225419271	6.00631711e-08		1442.36087	
0.015	0.0255299258	0.0225419271	7.25145904e-08		1442.49394	
0.015	0.0287843877	0.0184435664	8.7540913e-08		1441.61912	
0.015	0.0327132324	0.0184435664	1.05680961e-07		1439.31973	
0.015	0.0287843877	0.0225419271	8.7540913e-08		1440.85082	
0.015	0.0327132324	0.0225419271	1.05680961e-07		1438.49498	
0.015	0.022834178	0.0266402877	6.00631711e-08		1442.16368	
0.015	0.0255299258	0.0266402877	7.25145904e-08		1442.27921	
0.015	0.022834178	0.0307386484	6.00631711e-08		1442.0436	
0.015	0.0255299258	0.0307386484	7.25145904e-08		1441.77731	
0.015	0.0287843877	0.0266402877	8.7540913e-08		1439.97354	
0.015	0.0327132324	0.0266402877	1.05680961e-07		1437.88913	
0.015	0.0287843877	0.0307386484	8.7540913e-08		1439.14859	
0.015	0.0327132324	0.0307386484	1.05680961e-07		1437.50458	
0.015	0.0374562043	0.0184435664	1.27579952e-07		1438.61219	
0.015	0.0431820051	0.0184435664	1.54016806e-07		1438.45142	
0.015	0.0374562043	0.0225419271	1.27579952e-07		1438.16362	
0.015	0.0431820051	0.0225419271	1.54016806e-07		1438.29693	
0.015	0.0500942945	0.0184435664	1.85931852e-07		1438.31877	
0.015	0.0584389342	0.0184435664	2.24460267e-07		1437.71712	
0.015	0.0500942945	0.0225419271	1.85931852e-07		1438.21329	
0.015	0.0584389342	0.0225419271	2.24460267e-07		1437.54615	
0.015	0.0374562043	0.0266402877	1.27579952e-07		1437.75851	
0.015	0.0431820051	0.0266402877	1.54016806e-07		1437.95143	
0.015	0.0374562043	0.0307386484	1.27579952e-07		1437.51825	
0.015	0.0431820051	0.0307386484	1.54016806e-07		1437.45155	
0.015	0.0500942945	0.0266402877	1.85931852e-07		1437.76674	
0.015	0.0584389342	0.0266402877	2.24460267e-07		1437.05507	
0.015	0.0500942945	0.0307386484	1.85931852e-07		1437.22147	
0.015	0.0584389342	0.0307386484	2.24460267e-07		1436.84444	
0.015	0.0209601506	0.0348838949	3.20517709e-08		1445.48464	
0.015	0.020870805	0.0389765959	3.64518928e-08		1445.54108	
0.015	0.0207814328	0.0430705161	4.08520147e-08		1444.92217	
0.015	0.0206920417	0.0471652999	4.52521366e-08		1444.05051	
0.015	0.0206026368	0.0512607176	4.96522585e-08		1442.75656	
0.015	0.0205132215	0.0553566145	5.40523804e-08		1441.06131	
0.015	0.020423798	0.0594528823	5.84525023e-08		1438.89312	
0.015	0.0203343682	0.0635494431	6.28526242e-08		1436.46181	
0.015	0.022834178	0.034837009	6.00631711e-08		1441.82686	
0.015	0.0255299258	0.034837009	7.25145904e-08		1440.77341	
0.015	0.022834178	0.0389353697	6.00631711e-08		1441.34366	
0.015	0.0255299258	0.0389353697	7.25145904e-08		1439.38897	
0.015	0.0287843877	0.034837009	8.7540913e-08		1438.37647	
0.015	0.0327132324	0.034837009	1.05680961e-07		1437.3681	
0.015	0.0287843877	0.0389353697	8.7540913e-08		1437.63123	
0.015	0.0327132324	0.0389353697	1.05680961e-07		1437.67801	
0.015	0.022834178	0.0430337304	6.00631711e-08		1440.43914	
0.015	0.0255299258	0.0430337304	7.25145904e-08		1438.05315	
0.015	0.022834178	0.047132091	6.00631711e-08		1439.38543	
0.015	0.0255299258	0.047132091	7.25145904e-08		1436.9621	
0.015	0.0287843877	0.0430337304	8.7540913e-08		1437.16112	
0.015	0.0327132324	0.0430337304	1.05680961e-07		1438.09655	
0.015	0.0287843877	0.047132091	8.7540913e-08		1436.88053	
0.015	0.0327132324	0.047132091	1.05680961e-07		1438.24798	
0.015	0.0374562043	0.034837009	1.27579952e-07		1437.47185	
0.015	0.0431820051	0.034837009	1.54016806e-07		1437.30174	
0.015	0.0374562043	0.0389353697	1.27579952e-07		1437.74253	
0.015	0.0431820051	0.0389353697	1.54016806e-07		1437.25443	
0.015	0.0500942945	0.034837009	1.85931852e-07		1436.94724	
0.015	0.0584389342	0.034837009	2.24460267e-07		1436.79324	
0.015	0.0500942945	0.0389353697	1.85931852e-07		1436.75788	
0.015	0.0584389342	0.0389353697	2.24460267e-07		1436.80903	
0.015	0.0374562043	0.0430337304	1.27579952e-07		1437.98268	
0.015	0.0431820051	0.0430337304	1.54016806e-07		1437.23939	
0.015	0.0374562043	0.047132091	1.27579952e-07		1437.98191	
0.015	0.0431820051	0.047132091	1.54016806e-07		1437.15554	
0.015	0.0500942945	0.0430337304	1.85931852e-07		1436.68742	
0.015	0.0584389342	0.0430337304	2.24460267e-07		1437.0056	
0.015	0.0500942945	0.047132091	1.85931852e-07		1436.7063	
0.015	0.0584389342	0.047132091	2.24460267e-07		1437.15803	
0.015	0.022834178	0.0512304517	6.00631711e-08		1438.16419	
0.015	0.0255299258	0.0512304517	7.25145904e-08		1436.27839	
0.015	0.022834178	0.0553288123	6.00631711e-08		1436.97429	
0.015	0.0255299258	0.0553288123	7.25145904e-08		1436.00412	
0.015	0.0287843877	0.0512304517	8.7540913e-08		1436.82998	
0.015	0.0327132324	0.0512304517	1.05680961e-07		1438.3027	
0.015	0.0287843877	0.0553288123	8.7540913e-08		1437.06213	
0.015	0.0327132324	0.0553288123	1.05680961e-07		1438.1786	
0.015	0.022834178	0.059427173	6.00631711e-08		1435.93046	
0.015	0.0255299258	0.059427173	7.25145904e-08		1436.26415	
0.015	0.022834178	0.0635255336	6.00631711e-08		1435.39428	
0.015	0.0255299258	0.0635255336	7.25145904e-08		1437.53451	
0.015	0.0287843877	0.059427173	8.7540913e-08		1437.76059	
0.015	0.0327132324	0.059427173	1.05680961e-07		1437.9305	
0.015	0.0287843877	0.0635255336	8.7540913e-08		1438.49432	
0.015	0.0327132324	0.0635255336	1.05680961e-07		1437.47092	
0.015	0.0374562043	0.0512304517	1.27579952e-07		1437.83394	
0.015	0.0431820051	0.0512304517	1.54016806e-07		1437.06889	
0.015	0.0374562043	0.0553288123	1.27579952e-07		1437.53468	
0.015	0.0431820051	0.0553288123	1.54016806e-07		1436.94072	
0.015	0.0500942945	0.0512304517	1.85931852e-07		1436.68733	
0.015	0.0584389342	0.0512304517	2.24460267e-07		1437.18149	
0.015	0.0500942945	0.0553288123	1.85931852e-07		1436.66275	
0.015	0.0584389342	0.0553288123	2.24460267e-07		1437.0402	
0.015	0.0374562043	0.059427173	1.27579952e-07		1437.08558	
0.015	0.0431820051	0.059427173	1.54016806e-07		1436.63071	
0.015	0.0374562043	0.0635255336	1.27579952e-07		1436.28171	
0.015	0.0431820051	0.0635255336	1.54016806e-07		1436.09657	
0.015	0.0500942945	0.059427173	1.85931852e-07		1436.51867	
0.015	0.0584389342	0.059427173	2.24460267e-07		1436.81193	
0.015	0.0500942945	0.0635255336	1.85931852e-07		1436.42118	
0.015	0.0584389342	0.0635255336	2.24460267e-07		1436.81305	
0.015	0.068512733	0.00204965217	2.71034855e-07		1437.27584	
0.015	0.0806721961	0.00204965217	3.27109222e-07		1437.59023	
0.015	0.068512733	0.00614848456	2.70972447e-07		1437.31593	
0.015	0.0806721961	0.00614848456	3.27033902e-07		1437.68395	
0.015	0.068512733	0.0102468451	2.70972461e-07		1437.64727	
0.015	0.0806721961	0.0102468451	3.2703392e-07		1438.16101	
0.015	0.068512733	0.0143452058	2.70972461e-07		1437.78114	
0.015	0.0806721961	0.0143452058	3.2703392e-07		1438.56348	
0.015	0.068512733	0.0184435664	2.70972461e-07		1437.78312	
0.015	0.0806721961	0.0184435664	3.2703392e-07		1438.63242	
0.015	0.068512733	0.0225419271	2.70972461e-07		1437.68935	
0.015	0.0806721961	0.0225419271	3.2703392e-07		1438.66197	
